Kabupaten,Tahun,Upah Minimum,Prev ump,Different Amount Yearly,Increase Percentage
Kulonprogo,2013,954339,,,
Bantul,2013,993484,,,
Gunungkidul,2013,947114,,,
Sleman,2013,1026181,,,
Yogyakarta,2013,1065247,,,
Kulonprogo,2014,1069000,954339.0,114661.0,12.01
Bantul,2014,1125500,993484.0,132016.0,13.29
Gunungkidul,2014,988500,947114.0,41386.0,4.37
Sleman,2014,1127000,1026181.0,100819.0,9.82
Yogyakarta,2014,1173300,1065247.0,108053.0,10.14
Kulonprogo,2015,1138000,1069000.0,69000.0,6.45
Bantul,2015,1163800,1125500.0,38300.0,3.4
Gunungkidul,2015,1108249,988500.0,119749.0,12.11
Sleman,2015,1200000,1127000.0,73000.0,6.48
Yogyakarta,2015,1302500,1173300.0,129200.0,11.01
Kulonprogo,2016,1268870,1138000.0,130870.0,11.5
Bantul,2016,1297700,1163800.0,133900.0,11.51
Gunungkidul,2016,1235700,1108249.0,127451.0,11.5
Sleman,2016,1338000,1200000.0,138000.0,11.5
Yogyakarta,2016,1452400,1302500.0,149900.0,11.51
Kulonprogo,2017,1373600,1268870.0,104730.0,8.25
Bantul,2017,1404760,1297700.0,107060.0,8.25
Gunungkidul,2017,1337650,1235700.0,101950.0,8.25
Sleman,2017,1448385,1338000.0,110385.0,8.25
Yogyakarta,2017,1572200,1452400.0,119800.0,8.25
Kulonprogo,2018,1493250,1373600.0,119650.0,8.71
Bantul,2018,1572150,1404760.0,167390.0,11.92
Gunungkidul,2018,1454200,1337650.0,116550.0,8.71
Sleman,2018,1574550,1448385.0,126165.0,8.71
Yogyakarta,2018,1709150,1572200.0,136950.0,8.71
Kulonprogo,2019,1613200,1493250.0,119950.0,8.03
Bantul,2019,1649800,1572150.0,77650.0,4.94
Gunungkidul,2019,1571000,1454200.0,116800.0,8.03
Sleman,2019,1701000,1574550.0,126450.0,8.03
Yogyakarta,2019,1848400,1709150.0,139250.0,8.15
Kulonprogo,2020,1750500,1613200.0,137300.0,8.51
Bantul,2020,1790500,1649800.0,140700.0,8.53
Gunungkidul,2020,1705000,1571000.0,134000.0,8.53
Sleman,2020,1846000,1701000.0,145000.0,8.52
Yogyakarta,2020,2004000,1848400.0,155600.0,8.42
Kulonprogo,2021,1770000,1750500.0,19500.0,1.11
Bantul,2021,1805000,1790500.0,14500.0,0.81
Gunungkidul,2021,1842460,1705000.0,137460.0,8.06
Sleman,2021,1903500,1846000.0,57500.0,3.11
Yogyakarta,2021,2069530,2004000.0,65530.0,3.27
Kulonprogo,2022,1904275,1770000.0,134275.0,7.59
Bantul,2022,1916848,1805000.0,111848.0,6.2
Gunungkidul,2022,1900000,1842460.0,57540.0,3.12
Sleman,2022,2001000,1903500.0,97500.0,5.12
Yogyakarta,2022,2153970,2069530.0,84440.0,4.08
